cleaned_text,label
narasi tito karnavian ideologi komunis sekolah partai komunis china beijing tito karnivan beridiologi komunis pki sekolah partai komunis china baijing,1
anies berat berat kerja ringan kerja berat berat kerja ringan kerja,1
hindu india lempar patung buat laut tolong corona hindu india lempar patung buat laut laku bela virus corona maha suci allah tuhan semesta alam,1
rscm praktek sedot plug venasaluran darah rscm praktek sedot plug sumbat venasaluran darah jantung pake ring bypass moga teknologi bawa khabar gembira yg deteksi sumbat jantung koroner pasang ring operasi,1
mohon longgar angsur ojk dar info yg ansurancicilan longgar leasingpembiayaan silah aju kantor ojk otoritas jasa uang proses online aju padat silah aju tgl mei aju silah hub insya allah longgar bayar ansurancicilan sy harap bantu share menbantu saudara wabah corona blm stabil terimah kasih,1
aksi bem sejabotabek assalamua  laikum warahmatullahi wabarakatuh lihat tv ndak ini lihat sosmed ajakita viralkan,0
sinar kosmik bahaya radiasi malam pasti mati telepon tv singapura umum berita tolong lepas baca lindung beritahukan kerabat kasih temanteman malam bahaya radiasi sinar kosmik lewat bumi mati ponsel biar ponsel tubuh sebab rusa jaring tubuh silah cek google nasa bbc news tebar pesan peduli src spaceweathercom,1
smkn klarifikasi perihal kabar viral pasang foto presiden joko widodo lokasi smkn jakarta utara sekolah negeri pasang foto presiden  mohon viralkan pasang foto presiden sang kepala sekolah proses hukum,0
buat ktp orang gila ambisi kuasa parah paksa wajar ambisi kuasa buat ktp orang gilabeneran bekas,1
daniel radcliffe positiv infeksi corona covid breaking daniel radcliffe test posotive for coronavirus the actor is said to be the first famous person to publicly confirmed,1
big data cyber security indonesia pasang informasi lupa system bdcs big data cyber security indonesia sdh pasang susul rencana wantanas ri dewan tahan nasional yg ambil informasi internet indonesia,0
rakyat jokowi jusuf kalla adegan kamera eheum eheum rakyat kamera aktion sempurna,1
sms hadiah lazada birthday lazadabirthday jualbeli online no ucap selamat t  pilih menang jutawan rp jt id mpad birthday th lazada info,1
takbir larang kota bandung astaghfirullah takbir larang bakar lilin izin sholat larang biar terus ya allah tinggal negara minoritas muslim umat islam mayoritas sedih liat nya,0
kota cirebon lockdown besok kota cirebon lockdown sekat titik kalijaga ciperna tangkil kedawung beritahu kerabatsodara yg diberitahu dapet info barangkali manfaat,1
afi nihaya faradisa laku plagiat edar postingan afi plagiat tulis page facebook lembaga lindung konsumen celebes,0
foto sinden sinden ngakunya sih asli jawa bo  ong,1
tuding sprindik palsu fredrich yunadi kpk klarifikasi juru bicara kpk febri diansyah  mengadaada sprindik asli sah pisah proses sidi kemarin ,0
edar cpns media sosial edar cpns media sosial,0
festival layanglayang kpubawaslu sosialisasi pilkada depok langit demokrasi kota depok sosialisasi pilkada festival layanglayang,0
ponpes batabata pamekasan dukung khilafah ganti pancasila unggah judul  ulama muda asuh bata bata tuju gera politik idiologi ganti presiden ganti pancasila khilafah dukung,0
video jokowi sebab corona tembus ribu gak tau gmana bikin solusi pantesan liat sibuk krn gak tau ap yg hrs d kerja,1
ungkap hati bj habibie akhirat realita  bj habibie nol  bangga dunia  ungkap hati bj habibie akhirat bikin merinding,1
yusril ihza mahendra menang gugat hti perintah yusril ihza mahendra menang gugat hti perintah,1
ton telur bansos pemprov jabar busuk gudang simpan bulog garut bantu sembako beras mie instan telur vitamin minyak sayur gula terigu tahan gudang bulog garut simpan gudang distribusi ton telur busuk ganti proses distribusi,1
gambar pria yaman hubung seks kambing tangkap polisi astaga apa yg kau buat zik hik hik hiksungguh malu,1
imbau walikota solo beli tiket kebun binatang jurug kelola sanggup makan binatang walikota solo menghimbau paksa beli ticket bonbin jurug hrg nya lembar rb aja sp kelola tdk sanggup makan binatang bonbin spt harimau singa buaya dll tdk unjung masa covid monggo daftar tabur besok tuai,1
personil polres rok hulu fredi wesley tulis komentar hasut akun nama fredi wesley foto profil personel polres rok hulu tulis komentar status bau sara ujar benci,0
webinar generasi milenial cegah atas virus corona minggu april simak,1
surat mengatasnamakan deputi bpom kait iklan ucap ultah bpom kepala seksi sidi bpom surabaya siti amanah minta iklan ucap hut bpom usaha,0
lampu bendera lebanon nyala piramida mesir lampu bendera lebanon nyala piramida mesir solidaritas musibah ledak guncang kota beirut menteri pariwisata antik mesir bagi fotofoto facebook piramida belasungkawa lebanon duniaislam iniwstudies beritaduniaislam beritaterkini,0
informasi cetak kartu utbk juni halo calon mahasiswa indonesia catat ya guys biar gak senin juni sila cek portalltmptacid mendownload kartu utbk terima kasih share tau  semangat jaga sehat ,1
cengarcengir selfie warga jakarta banjir cengar cengir selfie warga jakarta banjir,1
masjid raya dki simbol bintang david yahudi masjid raya dki simbol bintang david yahudi,1
akun facebook donasi anak derita kanker tulang bpk presiden ri tolong anak kakak idap kanker tulang biaya operasi tahan sakit menang habis biaya obat kesana kemari kunjung da hasil dokter ambil tindak bedah paha kanan nya tolong orang susah pakk orang susah rumah sakit layan tolong tolong kasihan kadang malam paha gerogot dalam gigil tahan sakit,0
nusron wahid ludah serta aksi orang nusron wahid  serta aksi ribu orang ludah muka,1
mata uang rupiah puruk rabu nilai tukar rupiah puruk lewat rp dolar as,1
perintah stop layan krl mrt lrt transjakarta jabodetabek april news update perintah stop layan krlmrtlrttransjakarta tutup terminal jabodetabek april sumber ig depokjam,1
